"","dclientes"
"252",0.0467501487730562
"253",0.0467688331496698
"254",0.0467957241097433
"255",0.0468308146121458
"256",0.0468740611788637
"257",0.0469253846911335
"258",0.0469846715318223
"259",0.0470517750602302
"260",0.0471265174016517
"261",0.0472086915304439
"262",0.0472980636220365
"263",0.0473943756463257
"264",0.047497348172242
"265",0.0476066833510021
"266",0.0477220680436584
"267",0.0478431770570689
"268",0.0479696764513253
"269",0.048101226881009
"270",0.048237486932388
"271",0.0483781164188208
"272",0.0485227795971839
"273",0.0486711482690782
"274",0.0488229047318765
"275",0.048977744546333
"276",0.0491353790894641
"277",0.0492955378637037
"278",0.0494579705359072
"279",0.0496224486826047
"280",0.0497887672209534
"281",0.0499567455080817
"282",0.0501262280949256
"283",0.0502970851242033
"284",0.0504692123658167
"285",0.0506425308866944
"286",0.0508169863558516
"287",0.0509925479892228
"288",0.0511692071425866
"289",0.0513469755646195
"290",0.0515258833257631
"291",0.0517059764421321
"292",0.051887314217111
"293",0.0520699663265453
"294",0.0522540096765184
"295",0.0524395250655785
"296",0.0526265936859231
"297",0.0528152935004391
"298",0.0530056955346021
"299",0.0531978601240481
"300",0.0533918331601133
"301",0.0535876423767719
"302",0.053785293723178
"303",0.0539847678663982
"304",0.0541860168689096
"305",0.0543889610849992
"306",0.0545934863193296
"307",0.0547994412896217
"308",0.0550066354336304
"309",0.0552148370983511
"310",0.0554237721466952
"311",0.0556331230136959
"312",0.0558425282406789
"313",0.056051582511741
"314",0.0562598372123608
"315",0.0564668015250235
"316",0.0566719440714136
"317",0.05687469510505
"318",0.0570744492522417
"319",0.0572705687929887
"320",0.057462387466993
"321",0.0576492147833449
"322",0.0578303408057857
"323",0.0580050413787937
"324",0.0581725837531869
"325",0.0583322325635725
"326",0.0584832561038923
"327",0.0586249328416225
"328",0.0587565581059735
"329",0.0588774508808111
"330",0.0589869606290767
"331",0.0590844740723154
"332",0.0591694218466154
"333",0.0592412849548951
"334",0.0592996009351189
"335",0.0593439696647269
"336",0.059374058723377
"337",0.0593896082390321
"338",0.0593904351464963
"339",0.0593764367926991
"340",0.0593475938292979
"341",0.0593039723404857
"342",0.0592457251621605
"343",0.0591730923577469
"344",0.0590864008258561
"345",0.0589860630254786
"346",0.0588725748154011
"347",0.0587465124158465
"348",0.0586085285117998
"349",0.0584593475289163
"350",0.0582997601241355
"351",0.0581306169439596
"352",0.0579528217136233
"353",0.0577673237299051
"354",0.0575751098389466
"355",0.0573771959880111
"356",0.0571746184464795
"357",0.0569684247964494
"358",0.0567596647969708
"359",0.0565493812281494
"360",0.0563386008220355
"361",0.0561283253863724
"362",0.0559195232249081
"363",0.055713120954122
"364",0.0555099958109302
"365",0.0553109685393088
"366",0.0551167969359122
"367",0.0549281701257946
"368",0.0547457036294161
"369",0.0545699352713896
"370",0.0544013219700754
"371",0.0542402374353425
"372",0.0540869707897731
"373",0.0539417261164831
"374",0.0538046229247494
"375",0.0536756975129639
"376",0.0535549051972404
"377",0.0534421233634507
"378",0.0533371552907114
"379",0.0532397346855048
"380",0.0531495308578222
"381",0.0530661544640496
"382",0.0529891637358493
"383",0.0529180711100822
"384",0.0528523501718843
"385",0.0527914428213728
"386",0.0527347665740947
"387",0.0526817219062115
"388",0.0526316995574831
"389",0.0525840877083067
"390",0.0525382789512945
"391",0.0524936769830421
"392",0.0524497029477343
"393",0.0524058013709488
"394",0.052361445629316
"395",0.0523161429094546
"396",0.0522694386176997
"397",0.0522209202104388
"398",0.0521702204232481
"399",0.0521170198853607
"400",0.052061049114174
"401",0.0520020898924182
"402",0.0519399760381586
"403",0.0518745935849016
"404",0.0518058803956432
"405",0.0517338252406713
"406",0.0516584663742541
"407",0.051579889649973
"408",0.0514982262183573
"409",0.0514136498536322
"410",0.051326373958787
"411",0.0512366482998091
"412",0.0511447555208261
"413",0.051051007492066
"414",0.0509557415420155
"415",0.0508593166239663
"416",0.0507621094653287
"417",0.0506645107457051
"418",0.050566921346822
"419",0.0504697487140555
"420",0.0503734033655309
"421",0.0502782955806939
"422",0.050184832295898
"423",0.0500934142300153
"424",0.0500044332584132
"425",0.0499182700489299
"426",0.0498352919687874
"427",0.0497558512667861
"428",0.0496802835306815
"429",0.0496089064154312
"430",0.0495420186340698
"431",0.0494798991993853
"432",0.0494228069013764
"433",0.0493709800027171
"434",0.0493246361321747
"435",0.0492839723541549
"436",0.0492491653912888
"437",0.0492203719762627
"438",0.0491977293088985
"439",0.0491813555948241
"440",0.0491713506429043
"441",0.0491677964998969
"442",0.0491707581025176
"443",0.0491802839291858
"444",0.0491964066361276
"445",0.0492191436651506
"446",0.0492484978132254
"447",0.0492844577569083
"448",0.0493269985275646
"449",0.0493760819361999
"450",0.0494316569494167
"451",0.0494936600205018
"452",0.0495620153818535
"453",0.0496366353068147
"454",0.0497174203504436
"455",0.0498042595797806
"456",0.049897030804746
"457",0.0499956008209046
"458",0.050099825674973
"459",0.0502095509631311
"460",0.0503246121709757
"461",0.0504448350623463
"462",0.0505700361223435
"463",0.0507000230576898
"464",0.0508345953552465
"465",0.0509735448970743
"466",0.0511166566279892
"467",0.0512637092692183
"468",0.0514144760695767
"469",0.0515687255836552
"470",0.0517262224648938
"471",0.0518867282601966
"472",0.0520500021919526
